ID;Jugador;Nacionalidad;Posicion;Equipo;Liga;Edad;Nacimiento;Partidos;Partidos-titular;Minutos;Goles;Asistencias;G+A;Gol-Penal;Amarillas;Rojas;Goles-esperados;xAG
1294;Willy Kambwala;fr FRA;DF;Manchester Utd;eng Premier League;18;2004;8;3;330;0;0;0;0;1;0;0.0;0.0
1295;Jakub Kamiński;pl POL;FW,MF;Wolfsburg;de Bundesliga;21;2002;17;4;473;0;2;2;0;0;0;0.5;0.7
1296;Thomas Kaminski;be BEL;GK;Luton Town;eng Premier League;30;1992;38;38;3405;0;0;0;0;3;0;0.0;0.0
1297;Kevin Kampl;si SVN;MF;RB Leipzig;de Bundesliga;32;1990;26;14;1363;1;0;1;1;3;0;0.2;1.8
1298;Harry Kane;eng ENG;FW;Bayern Munich;de Bundesliga;30;1993;32;32;2839;36;8;44;31;2;0;30.6;6.4
1299;Lee Kang-in;kr KOR;FW,MF;Paris S-G;fr Ligue 1;22;2001;23;18;1464;3;4;7;3;2;0;1.5;2.3
1300;Yann Karamoh;fr FRA;MF,FW;Torino;it Serie A;25;1998;10;1;162;0;0;0;0;0;0;0.1;0.1
1301;Yann Karamoh;fr FRA;FW,MF;Montpellier;fr Ligue 1;25;1998;12;1;284;1;0;1;1;1;0;0.8;0.2
1302;Atakan Karazor;de GER;MF;Stuttgart;de Bundesliga;26;1996;33;31;2623;0;4;4;0;9;0;1.0;2.6
1303;Ayman Kari;fr FRA;MF;Lorient;fr Ligue 1;18;2004;14;12;893;1;1;2;1;1;0;0.6;0.8
1304;Emir Karic;at AUT;DF;Darmstadt 98;de Bundesliga;26;1997;27;18;1783;0;0;0;0;4;0;0.4;1.3
1305;Loris Karius;de GER;GK;Newcastle Utd;eng Premier League;30;1993;1;1;90;0;0;0;0;0;0;0.0;0.0
1306;Jesper Karlsson;se SWE;FW;Bologna;it Serie A;25;1998;7;4;344;0;0;0;0;0;0;0.4;0.3
1307;Jon Karrikaburu;es ESP;MF,FW;Alavés;es La Liga;20;2002;2;0;16;0;0;0;0;0;0;0.0;0.0
1308;Rick Karsdorp;nl NED;DF;Roma;it Serie A;28;1995;18;14;1191;0;2;2;0;2;0;0.4;2.2
1309;Grigoris Kastanos;cy CYP;MF,DF;Salernitana;it Serie A;25;1998;26;18;1480;3;3;6;3;5;0;2.9;2.8
1310;Silas Katompa;cd COD;FW,MF;Stuttgart;de Bundesliga;24;1998;27;8;900;5;2;7;5;0;0;5.7;2.3
1311;Panos Katseris;gr GRE;DF;Lorient;fr Ligue 1;22;2001;15;13;1041;1;1;2;1;4;0;2.1;0.8
1312;Mikkel Kaufmann;dk DEN;FW;Union Berlin;de Bundesliga;22;2001;18;4;486;1;0;1;1;0;0;1.3;1.0
1313;Michael Kayode;it ITA;DF;Fiorentina;it Serie A;19;2004;26;22;2058;1;1;2;1;2;0;0.5;1.1
1314;Moise Kean;it ITA;FW;Juventus;it Serie A;23;2000;19;8;654;0;0;0;0;2;0;2.1;0.7
1315;Michael Keane;eng ENG;DF;Everton;eng Premier League;30;1993;9;4;439;1;0;1;1;2;0;0.7;0.0
1316;Ibrahima Kebe;ml MLI;MF;Girona;es La Liga;22;2000;2;0;9;0;0;0;0;1;0;0.0;0.0
1317;Kévin Keben Biakolo;cm CMR;DF;Toulouse;fr Ligue 1;19;2004;8;7;521;0;0;0;0;1;0;0.0;0.1
1318;Yassine Kechta;ma MAR;MF;Le Havre;fr Ligue 1;21;2002;32;21;1849;2;1;3;2;4;0;1.6;2.2
1319;Thilo Kehrer;de GER;DF,MF;West Ham;eng Premier League;26;1996;4;0;22;0;0;0;0;2;0;0.0;0.0
1320;Thilo Kehrer;de GER;DF;Monaco;fr Ligue 1;26;1996;15;15;1323;1;1;2;1;4;1;0.7;1.1
1321;Habib Keita;ml MLI;MF;Clermont Foot;fr Ligue 1;21;2002;27;12;1278;1;0;1;1;4;0;0.7;0.6
1322;Naby Keïta;gn GUI;MF,DF;Werder Bremen;de Bundesliga;28;1995;5;1;109;0;0;0;0;2;0;0.1;0.0
1323;Yannik Keitel;de GER;DF,MF;Freiburg;de Bundesliga;23;2000;15;11;920;1;0;1;1;0;0;0.7;0.4
1324;Caoimhín Kelleher;ie IRL;GK;Liverpool;eng Premier League;24;1998;10;10;900;0;0;0;0;0;0;0.0;0.0
1325;Thomas Keller;de GER;MF,FW;Heidenheim;de Bundesliga;23;1999;2;0;2;0;0;0;0;0;0;0.0;0.0
1326;Lloyd Kelly;eng ENG;DF;Bournemouth;eng Premier League;24;1998;23;17;1559;0;1;1;0;2;0;0.3;1.2
1327;Omari Kellyman;eng ENG;FW;Aston Villa;eng Premier League;17;2005;2;0;37;0;0;0;0;0;0;0.1;0.0
1328;Aljoscha Kemlein;de GER;MF;Union Berlin;de Bundesliga;18;2004;2;0;29;0;0;0;0;0;0;0.0;0.0
1329;Tobias Kempe;de GER;MF;Darmstadt 98;de Bundesliga;34;1989;24;15;1350;3;2;5;0;1;0;3.6;2.1
1330;Milos Kerkez;hu HUN;DF;Bournemouth;eng Premier League;19;2003;28;22;1970;0;1;1;0;4;1;1.2;0.8
1331;Kaine Kesler-Hayden;eng ENG;MF,DF;Aston Villa;eng Premier League;20;2002;3;0;6;0;0;0;0;0;0;0.0;0.0
1332;Reda Khadra;de GER;FW,MF;Reims;fr Ligue 1;22;2001;29;14;1368;1;3;4;1;1;0;1.8;3.5
1333;Wahbi Khazri;tn TUN;FW;Montpellier;fr Ligue 1;32;1991;25;13;1131;1;0;1;1;6;0;3.3;1.2
1334;Rani Khedira;de GER;MF;Union Berlin;de Bundesliga;29;1994;20;18;1343;0;0;0;0;5;1;0.4;0.1
1335;Abdukodir Khusanov;uz UZB;DF;Lens;fr Ligue 1;19;2004;11;9;809;0;0;0;0;5;0;0.2;0.1
1336;Kiké;es ESP;FW,MF;Alavés;es La Liga;33;1989;33;15;1423;3;2;5;3;3;0;7.7;2.0
1337;Luca Kilian;de GER;DF;Köln;de Bundesliga;23;1999;13;6;635;0;0;0;0;1;0;0.0;0.0
1338;Max Kilman;eng ENG;DF;Wolves;eng Premier League;26;1997;38;38;3420;2;0;2;2;7;0;1.8;1.4
1339;Joshua Kimmich;de GER;MF,DF;Bayern Munich;de Bundesliga;28;1995;28;27;2176;1;6;7;1;1;1;1.1;7.1
1340;Jakub Kiwior;pl POL;DF;Arsenal;eng Premier League;23;2000;20;11;946;1;3;4;1;1;0;0.8;0.9
1341;Simon Kjær;dk DEN;DF;Milan;it Serie A;34;1989;20;14;1171;0;1;1;0;1;0;0.5;0.8
1342;Davy Klaassen;nl NED;MF;Inter;it Serie A;30;1993;13;1;206;0;0;0;0;1;0;0.1;0.2
1343;Christoph Klarer;at AUT;DF;Darmstadt 98;de Bundesliga;23;2000;30;28;2354;2;2;4;2;9;0;1.2;0.9
1344;Tim Kleindienst;de GER;FW;Heidenheim;de Bundesliga;27;1995;33;33;2869;12;3;15;10;6;0;13.9;3.3
1345;Lukas Klostermann;de GER;DF;RB Leipzig;de Bundesliga;27;1996;25;16;1436;1;0;1;1;3;0;0.7;0.4
1346;Justin Kluivert;nl NED;MF,FW;Bournemouth;eng Premier League;24;1999;32;26;1916;7;1;8;7;5;0;6.2;1.9
1347;Ansgar Knauff;de GER;MF,DF;Eint Frankfurt;de Bundesliga;21;2002;31;24;2109;7;2;9;7;7;1;5.7;2.3
1348;Robin Knoche;de GER;DF;Union Berlin;de Bundesliga;31;1992;24;20;1917;1;0;1;1;1;0;1.2;0.3
1349;Gregor Kobel;ch SUI;GK;Dortmund;de Bundesliga;25;1997;27;27;2365;0;0;0;0;1;0;0.0;0.0
1350;Robin Koch;de GER;DF;Eint Frankfurt;de Bundesliga;27;1996;31;31;2738;2;0;2;2;10;0;3.1;0.2
1351;Philipp Köhn;ch SUI;GK;Monaco;fr Ligue 1;25;1998;22;22;1980;0;0;0;0;0;0;0.0;0.0
1352;Dominik Kohr;de GER;DF,MF;Mainz 05;de Bundesliga;29;1994;31;27;2184;1;0;1;1;15;1;1.6;1.2
1353;Koke;es ESP;MF;Atlético Madrid;es La Liga;31;1992;35;32;2493;0;4;4;0;5;0;0.4;3.6
1354;Sead Kolašinac;ba BIH;DF;Atalanta;it Serie A;30;1993;30;25;2178;1;0;1;1;4;0;1.3;1.1
1355;Luca Koleosho;it ITA;MF,FW;Burnley;eng Premier League;18;2004;15;13;974;1;1;2;1;0;0;2.0;1.3
1356;Randal Kolo Muani;fr FRA;FW,MF;Paris S-G;fr Ligue 1;24;1998;26;13;1268;6;5;11;6;1;0;6.1;3.3
1357;Randal Kolo Muani;fr FRA;FW;Eint Frankfurt;de Bundesliga;24;1998;2;2;153;1;0;1;1;0;0;1.3;0.0
1358;Mert Kömür;de GER;MF,DF;Augsburg;de Bundesliga;18;2005;4;1;118;1;0;1;1;0;0;0.2;0.0
1359;Cheick Konaté;ml MLI;DF;Clermont Foot;fr Ligue 1;19;2004;19;12;1068;1;1;2;1;4;0;0.5;1.6
1360;Ibrahima Konaté;fr FRA;DF;Liverpool;eng Premier League;24;1999;22;17;1574;0;0;0;0;5;1;0.7;0.4
1361;Geoffrey Kondogbia;cf CTA;MF;Marseille;fr Ligue 1;30;1993;26;15;1463;0;0;0;0;3;0;0.4;0.5
1362;Abdoul Koné;fr FRA;DF;Reims;fr Ligue 1;18;2005;3;3;193;0;0;0;0;1;0;0.0;0.7
